stmID	controlID	value
stm09	Bv5501	0
stm09	Ca5501	0
stm09	Ec5001	0
stm09	Ec5002	1
stm09	Ec5003	1
stm09	Ec5004	0
stm09	Ec5005	0
stm09	Ec5501	0
stm09	Ec5502	0
stm09	Ec6001	0
stm09	Ga5501	0
stm09	Tb5501	1
stm10	Bv5501	0
stm10	Ca5501	0
stm10	Ec5001	1
stm10	Ec5002	0
stm10	Ec5003	0
stm10	Ec5004	0
stm10	Ec5005	1
stm10	Ec5501	0
stm10	Ec5502	1
stm10	Ec6001	0
stm10	Ga5501	0
stm10	Tb5501	0
stm11	Bv5501	1
stm11	Ca5501	1
stm11	Ec5001	0
stm11	Ec5002	0
stm11	Ec5003	0
stm11	Ec5004	0
stm11	Ec5005	0
stm11	Ec5501	0
stm11	Ec5502	0
stm11	Ec6001	0
stm11	Ga5501	1
stm11	Tb5501	0
stm12	Bv5501	0
stm12	Ca5501	0
stm12	Ec5001	0
stm12	Ec5002	1
stm12	Ec5003	0
stm12	Ec5004	0
stm12	Ec5005	1
stm12	Ec5501	0
stm12	Ec5502	0
stm12	Ec6001	1
stm12	Ga5501	0
stm12	Tb5501	0
stm13	Bv5501	0
stm13	Ca5501	1
stm13	Ec5001	0
stm13	Ec5002	0
stm13	Ec5003	0
stm13	Ec5004	1
stm13	Ec5005	0
stm13	Ec5501	1
stm13	Ec5502	0
stm13	Ec6001	0
stm13	Ga5501	0
stm13	Tb5501	0
stm14	Bv5501	1
stm14	Ca5501	0
stm14	Ec5001	0
stm14	Ec5002	0
stm14	Ec5003	1
stm14	Ec5004	0
stm14	Ec5005	0
stm14	Ec5501	0
stm14	Ec5502	1
stm14	Ec6001	0
stm14	Ga5501	0
stm14	Tb5501	0
stm15	Bv5501	0
stm15	Ca5501	0
stm15	Ec5001	1
stm15	Ec5002	0
stm15	Ec5003	0
stm15	Ec5004	1
stm15	Ec5005	0
stm15	Ec5501	0
stm15	Ec5502	0
stm15	Ec6001	0
stm15	Ga5501	0
stm15	Tb5501	1
stm16	Bv5501	0
stm16	Ca5501	0
stm16	Ec5001	0
stm16	Ec5002	0
stm16	Ec5003	0
stm16	Ec5004	0
stm16	Ec5005	1
stm16	Ec5501	0
stm16	Ec5502	1
stm16	Ec6001	1
stm16	Ga5501	0
stm16	Tb5501	0
stm17	Bv5501	0
stm17	Ca5501	1
stm17	Ec5001	1
stm17	Ec5002	0
stm17	Ec5003	0
stm17	Ec5004	0
stm17	Ec5005	0
stm17	Ec5501	1
stm17	Ec5502	0
stm17	Ec6001	0
stm17	Ga5501	0
stm17	Tb5501	0
stm18	Bv5501	1
stm18	Ca5501	0
stm18	Ec5001	0
stm18	Ec5002	1
stm18	Ec5003	0
stm18	Ec5004	0
stm18	Ec5005	0
stm18	Ec5501	0
stm18	Ec5502	0
stm18	Ec6001	1
stm18	Ga5501	0
stm18	Tb5501	0
stm19	Bv5501	0
stm19	Ca5501	0
stm19	Ec5001	1
stm19	Ec5002	0
stm19	Ec5003	1
stm19	Ec5004	0
stm19	Ec5005	0
stm19	Ec5501	0
stm19	Ec5502	1
stm19	Ec6001	0
stm19	Ga5501	0
stm19	Tb5501	0
stm20	Bv5501	1
stm20	Ca5501	0
stm20	Ec5001	0
stm20	Ec5002	0
stm20	Ec5003	0
stm20	Ec5004	0
stm20	Ec5005	0
stm20	Ec5501	1
stm20	Ec5502	0
stm20	Ec6001	0
stm20	Ga5501	1
stm20	Tb5501	0
stm21	Bv5501	0
stm21	Ca5501	0
stm21	Ec5001	0
stm21	Ec5002	0
stm21	Ec5003	1
stm21	Ec5004	0
stm21	Ec5005	1
stm21	Ec5501	0
stm21	Ec5502	0
stm21	Ec6001	0
stm21	Ga5501	0
stm21	Tb5501	1
stm22	Bv5501	0
stm22	Ca5501	1
stm22	Ec5001	0
stm22	Ec5002	0
stm22	Ec5003	0
stm22	Ec5004	0
stm22	Ec5005	0
stm22	Ec5501	1
stm22	Ec5502	0
stm22	Ec6001	1
stm22	Ga5501	0
stm22	Tb5501	0
stm23	Bv5501	1
stm23	Ca5501	0
stm23	Ec5001	0
stm23	Ec5002	0
stm23	Ec5003	1
stm23	Ec5004	0
stm23	Ec5005	1
stm23	Ec5501	0
stm23	Ec5502	0
stm23	Ec6001	0
stm23	Ga5501	0
stm23	Tb5501	0
stm24	Bv5501	0
stm24	Ca5501	0
stm24	Ec5001	0
stm24	Ec5002	0
stm24	Ec5003	0
stm24	Ec5004	1
stm24	Ec5005	0
stm24	Ec5501	0
stm24	Ec5502	0
stm24	Ec6001	0
stm24	Ga5501	1
stm24	Tb5501	1
stm25	Bv5501	0
stm25	Ca5501	0
stm25	Ec5001	0
stm25	Ec5002	1
stm25	Ec5003	1
stm25	Ec5004	0
stm25	Ec5005	0
stm25	Ec5501	0
stm25	Ec5502	1
stm25	Ec6001	0
stm25	Ga5501	0
stm25	Tb5501	0
stm26	Bv5501	0
stm26	Ca5501	1
stm26	Ec5001	0
stm26	Ec5002	0
stm26	Ec5003	0
stm26	Ec5004	1
stm26	Ec5005	0
stm26	Ec5501	0
stm26	Ec5502	0
stm26	Ec6001	0
stm26	Ga5501	1
stm26	Tb5501	0
stm27	Bv5501	0
stm27	Ca5501	0
stm27	Ec5001	0
stm27	Ec5002	1
stm27	Ec5003	0
stm27	Ec5004	0
stm27	Ec5005	0
stm27	Ec5501	1
stm27	Ec5502	0
stm27	Ec6001	1
stm27	Ga5501	0
stm27	Tb5501	0
stm28	Bv5501	0
stm28	Ca5501	1
stm28	Ec5001	1
stm28	Ec5002	0
stm28	Ec5003	1
stm28	Ec5004	0
stm28	Ec5005	0
stm28	Ec5501	0
stm28	Ec5502	0
stm28	Ec6001	0
stm28	Ga5501	0
stm28	Tb5501	0
stm29	Bv5501	1
stm29	Ca5501	0
stm29	Ec5001	0
stm29	Ec5002	0
stm29	Ec5003	0
stm29	Ec5004	0
stm29	Ec5005	0
stm29	Ec5501	0
stm29	Ec5502	1
stm29	Ec6001	1
stm29	Ga5501	0
stm29	Tb5501	0
stm30	Bv5501	0
stm30	Ca5501	0
stm30	Ec5001	0
stm30	Ec5002	1
stm30	Ec5003	1
stm30	Ec5004	0
stm30	Ec5005	0
stm30	Ec5501	0
stm30	Ec5502	0
stm30	Ec6001	0
stm30	Ga5501	1
stm30	Tb5501	0
stm31	Bv5501	0
stm31	Ca5501	1
stm31	Ec5001	0
stm31	Ec5002	0
stm31	Ec5003	0
stm31	Ec5004	1
stm31	Ec5005	0
stm31	Ec5501	0
stm31	Ec5502	1
stm31	Ec6001	0
stm31	Ga5501	0
stm31	Tb5501	0
stm32	Bv5501	0
stm32	Ca5501	0
stm32	Ec5001	1
stm32	Ec5002	0
stm32	Ec5003	0
stm32	Ec5004	0
stm32	Ec5005	0
stm32	Ec5501	1
stm32	Ec5502	0
stm32	Ec6001	1
stm32	Ga5501	0
stm32	Tb5501	0
stm33	Bv5501	1
stm33	Ca5501	0
stm33	Ec5001	0
stm33	Ec5002	0
stm33	Ec5003	0
stm33	Ec5004	0
stm33	Ec5005	1
stm33	Ec5501	0
stm33	Ec5502	0
stm33	Ec6001	0
stm33	Ga5501	1
stm33	Tb5501	0
stm34	Bv5501	0
stm34	Ca5501	0
stm34	Ec5001	1
stm34	Ec5002	0
stm34	Ec5003	0
stm34	Ec5004	0
stm34	Ec5005	0
stm34	Ec5501	0
stm34	Ec5502	0
stm34	Ec6001	1
stm34	Ga5501	0
stm34	Tb5501	1
stm35	Bv5501	1
stm35	Ca5501	0
stm35	Ec5001	0
stm35	Ec5002	0
stm35	Ec5003	0
stm35	Ec5004	1
stm35	Ec5005	0
stm35	Ec5501	0
stm35	Ec5502	0
stm35	Ec6001	0
stm35	Ga5501	1
stm35	Tb5501	0
stm36	Bv5501	0
stm36	Ca5501	0
stm36	Ec5001	0
stm36	Ec5002	0
stm36	Ec5003	0
stm36	Ec5004	0
stm36	Ec5005	1
stm36	Ec5501	0
stm36	Ec5502	1
stm36	Ec6001	0
stm36	Ga5501	0
stm36	Tb5501	1
stm37	Bv5501	0
stm37	Ca5501	0
stm37	Ec5001	0
stm37	Ec5002	1
stm37	Ec5003	0
stm37	Ec5004	1
stm37	Ec5005	0
stm37	Ec5501	1
stm37	Ec5502	0
stm37	Ec6001	0
stm37	Ga5501	0
stm37	Tb5501	0
stm38	Bv5501	1
stm38	Ca5501	0
stm38	Ec5001	1
stm38	Ec5002	0
stm38	Ec5003	0
stm38	Ec5004	0
stm38	Ec5005	1
stm38	Ec5501	0
stm38	Ec5502	0
stm38	Ec6001	0
stm38	Ga5501	0
stm38	Tb5501	0
stm39	Bv5501	0
stm39	Ca5501	0
stm39	Ec5001	0
stm39	Ec5002	0
stm39	Ec5003	1
stm39	Ec5004	0
stm39	Ec5005	0
stm39	Ec5501	1
stm39	Ec5502	0
stm39	Ec6001	0
stm39	Ga5501	1
stm39	Tb5501	0
stm40	Bv5501	1
stm40	Ca5501	0
stm40	Ec5001	0
stm40	Ec5002	1
stm40	Ec5003	0
stm40	Ec5004	0
stm40	Ec5005	0
stm40	Ec5501	0
stm40	Ec5502	1
stm40	Ec6001	0
stm40	Ga5501	0
stm40	Tb5501	0
stm41	Bv5501	0
stm41	Ca5501	1
stm41	Ec5001	0
stm41	Ec5002	0
stm41	Ec5003	0
stm41	Ec5004	0
stm41	Ec5005	0
stm41	Ec5501	1
stm41	Ec5502	0
stm41	Ec6001	0
stm41	Ga5501	0
stm41	Tb5501	1
stm42	Bv5501	0
stm42	Ca5501	0
stm42	Ec5001	0
stm42	Ec5002	1
stm42	Ec5003	0
stm42	Ec5004	0
stm42	Ec5005	0
stm42	Ec5501	0
stm42	Ec5502	1
stm42	Ec6001	0
stm42	Ga5501	1
stm42	Tb5501	0
stm43	Bv5501	0
stm43	Ca5501	0
stm43	Ec5001	0
stm43	Ec5002	0
stm43	Ec5003	1
stm43	Ec5004	0
stm43	Ec5005	1
stm43	Ec5501	1
stm43	Ec5502	0
stm43	Ec6001	0
stm43	Ga5501	0
stm43	Tb5501	0
stm44	Bv5501	0
stm44	Ca5501	1
stm44	Ec5001	0
stm44	Ec5002	1
stm44	Ec5003	0
stm44	Ec5004	0
stm44	Ec5005	0
stm44	Ec5501	0
stm44	Ec5502	0
stm44	Ec6001	1
stm44	Ga5501	0
stm44	Tb5501	0
stm45	Bv5501	1
stm45	Ca5501	0
stm45	Ec5001	0
stm45	Ec5002	0
stm45	Ec5003	0
stm45	Ec5004	0
stm45	Ec5005	0
stm45	Ec5501	0
stm45	Ec5502	0
stm45	Ec6001	0
stm45	Ga5501	1
stm45	Tb5501	1
stm46	Bv5501	0
stm46	Ca5501	1
stm46	Ec5001	0
stm46	Ec5002	0
stm46	Ec5003	0
stm46	Ec5004	0
stm46	Ec5005	0
stm46	Ec5501	1
stm46	Ec5502	1
stm46	Ec6001	0
stm46	Ga5501	0
stm46	Tb5501	0
stm47	Bv5501	1
stm47	Ca5501	0
stm47	Ec5001	0
stm47	Ec5002	1
stm47	Ec5003	0
stm47	Ec5004	0
stm47	Ec5005	0
stm47	Ec5501	0
stm47	Ec5502	0
stm47	Ec6001	0
stm47	Ga5501	0
stm47	Tb5501	1
stm48	Bv5501	0
stm48	Ca5501	0
stm48	Ec5001	1
stm48	Ec5002	0
stm48	Ec5003	1
stm48	Ec5004	0
stm48	Ec5005	0
stm48	Ec5501	0
stm48	Ec5502	0
stm48	Ec6001	1
stm48	Ga5501	0
stm48	Tb5501	0
stm49	Bv5501	0
stm49	Ca5501	0
stm49	Ec5001	0
stm49	Ec5002	1
stm49	Ec5003	0
stm49	Ec5004	1
stm49	Ec5005	0
stm49	Ec5501	0
stm49	Ec5502	0
stm49	Ec6001	0
stm49	Ga5501	1
stm49	Tb5501	0
stm50	Bv5501	1
stm50	Ca5501	0
stm50	Ec5001	1
stm50	Ec5002	0
stm50	Ec5003	1
stm50	Ec5004	0
stm50	Ec5005	0
stm50	Ec5501	0
stm50	Ec5502	0
stm50	Ec6001	0
stm50	Ga5501	0
stm50	Tb5501	0
stm51	Bv5501	0
stm51	Ca5501	0
stm51	Ec5001	0
stm51	Ec5002	0
stm51	Ec5003	0
stm51	Ec5004	1
stm51	Ec5005	0
stm51	Ec5501	0
stm51	Ec5502	1
stm51	Ec6001	1
stm51	Ga5501	0
stm51	Tb5501	0
stm52	Bv5501	1
stm52	Ca5501	0
stm52	Ec5001	0
stm52	Ec5002	0
stm52	Ec5003	1
stm52	Ec5004	0
stm52	Ec5005	0
stm52	Ec5501	0
stm52	Ec5502	0
stm52	Ec6001	0
stm52	Ga5501	1
stm52	Tb5501	0
stm53	Bv5501	0
stm53	Ca5501	0
stm53	Ec5001	0
stm53	Ec5002	0
stm53	Ec5003	0
stm53	Ec5004	1
stm53	Ec5005	1
stm53	Ec5501	1
stm53	Ec5502	0
stm53	Ec6001	0
stm53	Ga5501	0
stm53	Tb5501	0
stm54	Bv5501	1
stm54	Ca5501	0
stm54	Ec5001	0
stm54	Ec5002	0
stm54	Ec5003	1
stm54	Ec5004	0
stm54	Ec5005	0
stm54	Ec5501	0
stm54	Ec5502	0
stm54	Ec6001	1
stm54	Ga5501	0
stm54	Tb5501	0
stm55	Bv5501	0
stm55	Ca5501	0
stm55	Ec5001	1
stm55	Ec5002	0
stm55	Ec5003	0
stm55	Ec5004	1
stm55	Ec5005	0
stm55	Ec5501	0
stm55	Ec5502	0
stm55	Ec6001	0
stm55	Ga5501	1
stm55	Tb5501	0
stm56	Bv5501	0
stm56	Ca5501	1
stm56	Ec5001	0
stm56	Ec5002	1
stm56	Ec5003	0
stm56	Ec5004	0
stm56	Ec5005	0
stm56	Ec5501	0
stm56	Ec5502	0
stm56	Ec6001	0
stm56	Ga5501	0
stm56	Tb5501	1
stm57	Bv5501	1
stm57	Ca5501	0
stm57	Ec5001	0
stm57	Ec5002	0
stm57	Ec5003	0
stm57	Ec5004	0
stm57	Ec5005	1
stm57	Ec5501	1
stm57	Ec5502	0
stm57	Ec6001	0
stm57	Ga5501	0
stm57	Tb5501	0
stm58	Bv5501	0
stm58	Ca5501	1
stm58	Ec5001	0
stm58	Ec5002	0
stm58	Ec5003	0
stm58	Ec5004	0
stm58	Ec5005	0
stm58	Ec5501	0
stm58	Ec5502	1
stm58	Ec6001	0
stm58	Ga5501	1
stm58	Tb5501	0
stm59	Bv5501	1
stm59	Ca5501	0
stm59	Ec5001	0
stm59	Ec5002	1
stm59	Ec5003	0
stm59	Ec5004	0
stm59	Ec5005	1
stm59	Ec5501	0
stm59	Ec5502	0
stm59	Ec6001	0
stm59	Ga5501	0
stm59	Tb5501	0
stm60	Bv5501	0
stm60	Ca5501	0
stm60	Ec5001	1
stm60	Ec5002	0
stm60	Ec5003	0
stm60	Ec5004	0
stm60	Ec5005	0
stm60	Ec5501	1
stm60	Ec5502	0
stm60	Ec6001	0
stm60	Ga5501	0
stm60	Tb5501	1
stm61	Bv5501	1
stm61	Ca5501	0
stm61	Ec5001	0
stm61	Ec5002	0
stm61	Ec5003	0
stm61	Ec5004	0
stm61	Ec5005	0
stm61	Ec5501	0
stm61	Ec5502	1
stm61	Ec6001	0
stm61	Ga5501	1
stm61	Tb5501	0
stm62	Bv5501	0
stm62	Ca5501	0
stm62	Ec5001	0
stm62	Ec5002	1
stm62	Ec5003	0
stm62	Ec5004	0
stm62	Ec5005	1
stm62	Ec5501	0
stm62	Ec5502	0
stm62	Ec6001	0
stm62	Ga5501	0
stm62	Tb5501	1
stm63	Bv5501	1
stm63	Ca5501	1
stm63	Ec5001	0
stm63	Ec5002	0
stm63	Ec5003	0
stm63	Ec5004	0
stm63	Ec5005	0
stm63	Ec5501	0
stm63	Ec5502	1
stm63	Ec6001	0
stm63	Ga5501	0
stm63	Tb5501	0
stm64	Bv5501	0
stm64	Ca5501	0
stm64	Ec5001	1
stm64	Ec5002	0
stm64	Ec5003	1
stm64	Ec5004	0
stm64	Ec5005	0
stm64	Ec5501	0
stm64	Ec5502	0
stm64	Ec6001	0
stm64	Ga5501	1
stm64	Tb5501	0
stm65	Bv5501	0
stm65	Ca5501	1
stm65	Ec5001	0
stm65	Ec5002	0
stm65	Ec5003	0
stm65	Ec5004	0
stm65	Ec5005	0
stm65	Ec5501	0
stm65	Ec5502	1
stm65	Ec6001	0
stm65	Ga5501	0
stm65	Tb5501	1
stm66	Bv5501	1
stm66	Ca5501	0
stm66	Ec5001	0
stm66	Ec5002	0
stm66	Ec5003	1
stm66	Ec5004	1
stm66	Ec5005	0
stm66	Ec5501	0
stm66	Ec5502	0
stm66	Ec6001	0
stm66	Ga5501	0
stm66	Tb5501	0
stm67	Bv5501	0
stm67	Ca5501	0
stm67	Ec5001	0
stm67	Ec5002	0
stm67	Ec5003	0
stm67	Ec5004	0
stm67	Ec5005	0
stm67	Ec5501	1
stm67	Ec5502	0
stm67	Ec6001	1
stm67	Ga5501	1
stm67	Tb5501	0
stm68	Bv5501	1
stm68	Ca5501	0
stm68	Ec5001	0
stm68	Ec5002	0
stm68	Ec5003	0
stm68	Ec5004	1
stm68	Ec5005	1
stm68	Ec5501	0
stm68	Ec5502	0
stm68	Ec6001	0
stm68	Ga5501	0
stm68	Tb5501	0
stm69	Bv5501	0
stm69	Ca5501	0
stm69	Ec5001	0
stm69	Ec5002	0
stm69	Ec5003	1
stm69	Ec5004	0
stm69	Ec5005	0
stm69	Ec5501	1
stm69	Ec5502	0
stm69	Ec6001	1
stm69	Ga5501	0
stm69	Tb5501	0
stm70	Bv5501	0
stm70	Ca5501	0
stm70	Ec5001	1
stm70	Ec5002	0
stm70	Ec5003	0
stm70	Ec5004	1
stm70	Ec5005	0
stm70	Ec5501	0
stm70	Ec5502	1
stm70	Ec6001	0
stm70	Ga5501	0
stm70	Tb5501	0
stm71	Bv5501	0
stm71	Ca5501	0
stm71	Ec5001	0
stm71	Ec5002	0
stm71	Ec5003	1
stm71	Ec5004	0
stm71	Ec5005	1
stm71	Ec5501	0
stm71	Ec5502	0
stm71	Ec6001	1
stm71	Ga5501	0
stm71	Tb5501	0
stm72	Bv5501	0
stm72	Ca5501	0
stm72	Ec5001	0
stm72	Ec5002	0
stm72	Ec5003	0
stm72	Ec5004	0
stm72	Ec5005	0
stm72	Ec5501	1
stm72	Ec5502	1
stm72	Ec6001	0
stm72	Ga5501	0
stm72	Tb5501	1
stm73	Bv5501	0
stm73	Ca5501	0
stm73	Ec5001	0
stm73	Ec5002	1
stm73	Ec5003	0
stm73	Ec5004	1
stm73	Ec5005	0
stm73	Ec5501	0
stm73	Ec5502	0
stm73	Ec6001	1
stm73	Ga5501	0
stm73	Tb5501	0
stm74	Bv5501	0
stm74	Ca5501	1
stm74	Ec5001	0
stm74	Ec5002	0
stm74	Ec5003	0
stm74	Ec5004	0
stm74	Ec5005	0
stm74	Ec5501	1
stm74	Ec5502	0
stm74	Ec6001	0
stm74	Ga5501	1
stm74	Tb5501	0
stm75	Bv5501	0
stm75	Ca5501	0
stm75	Ec5001	0
stm75	Ec5002	0
stm75	Ec5003	1
stm75	Ec5004	0
stm75	Ec5005	1
stm75	Ec5501	0
stm75	Ec5502	1
stm75	Ec6001	0
stm75	Ga5501	0
stm75	Tb5501	0
stm76	Bv5501	0
stm76	Ca5501	0
stm76	Ec5001	0
stm76	Ec5002	1
stm76	Ec5003	0
stm76	Ec5004	0
stm76	Ec5005	0
stm76	Ec5501	0
stm76	Ec5502	0
stm76	Ec6001	0
stm76	Ga5501	1
stm76	Tb5501	1
stm77	Bv5501	1
stm77	Ca5501	0
stm77	Ec5001	0
stm77	Ec5002	0
stm77	Ec5003	0
stm77	Ec5004	1
stm77	Ec5005	0
stm77	Ec5501	0
stm77	Ec5502	1
stm77	Ec6001	0
stm77	Ga5501	0
stm77	Tb5501	0
stm78	Bv5501	0
stm78	Ca5501	0
stm78	Ec5001	0
stm78	Ec5002	0
stm78	Ec5003	0
stm78	Ec5004	0
stm78	Ec5005	0
stm78	Ec5501	1
stm78	Ec5502	0
stm78	Ec6001	0
stm78	Ga5501	1
stm78	Tb5501	1
stm79	Bv5501	1
stm79	Ca5501	1
stm79	Ec5001	0
stm79	Ec5002	1
stm79	Ec5003	0
stm79	Ec5004	0
stm79	Ec5005	0
stm79	Ec5501	0
stm79	Ec5502	0
stm79	Ec6001	0
stm79	Ga5501	0
stm79	Tb5501	0
stm80	Bv5501	0
stm80	Ca5501	0
stm80	Ec5001	0
stm80	Ec5002	0
stm80	Ec5003	1
stm80	Ec5004	1
stm80	Ec5005	0
stm80	Ec5501	0
stm80	Ec5502	0
stm80	Ec6001	1
stm80	Ga5501	0
stm80	Tb5501	0
stm81	Bv5501	1
stm81	Ca5501	0
stm81	Ec5001	1
stm81	Ec5002	0
stm81	Ec5003	0
stm81	Ec5004	0
stm81	Ec5005	0
stm81	Ec5501	0
stm81	Ec5502	0
stm81	Ec6001	0
stm81	Ga5501	1
stm81	Tb5501	0
stm82	Bv5501	0
stm82	Ca5501	0
stm82	Ec5001	0
stm82	Ec5002	1
stm82	Ec5003	1
stm82	Ec5004	0
stm82	Ec5005	0
stm82	Ec5501	0
stm82	Ec5502	0
stm82	Ec6001	1
stm82	Ga5501	0
stm82	Tb5501	0
stm83	Bv5501	1
stm83	Ca5501	0
stm83	Ec5001	0
stm83	Ec5002	0
stm83	Ec5003	0
stm83	Ec5004	0
stm83	Ec5005	0
stm83	Ec5501	1
stm83	Ec5502	0
stm83	Ec6001	0
stm83	Ga5501	0
stm83	Tb5501	1
stm84	Bv5501	0
stm84	Ca5501	0
stm84	Ec5001	0
stm84	Ec5002	0
stm84	Ec5003	0
stm84	Ec5004	1
stm84	Ec5005	1
stm84	Ec5501	0
stm84	Ec5502	0
stm84	Ec6001	1
stm84	Ga5501	0
stm84	Tb5501	0
stm85	Bv5501	0
stm85	Ca5501	1
stm85	Ec5001	0
stm85	Ec5002	0
stm85	Ec5003	1
stm85	Ec5004	0
stm85	Ec5005	0
stm85	Ec5501	0
stm85	Ec5502	0
stm85	Ec6001	0
stm85	Ga5501	1
stm85	Tb5501	0
stm86	Bv5501	1
stm86	Ca5501	0
stm86	Ec5001	0
stm86	Ec5002	0
stm86	Ec5003	0
stm86	Ec5004	0
stm86	Ec5005	1
stm86	Ec5501	0
stm86	Ec5502	0
stm86	Ec6001	1
stm86	Ga5501	0
stm86	Tb5501	0
stm87	Bv5501	0
stm87	Ca5501	0
stm87	Ec5001	0
stm87	Ec5002	0
stm87	Ec5003	0
stm87	Ec5004	1
stm87	Ec5005	0
stm87	Ec5501	1
stm87	Ec5502	1
stm87	Ec6001	0
stm87	Ga5501	0
stm87	Tb5501	0
stm88	Bv5501	0
stm88	Ca5501	1
stm88	Ec5001	1
stm88	Ec5002	0
stm88	Ec5003	0
stm88	Ec5004	0
stm88	Ec5005	0
stm88	Ec5501	0
stm88	Ec5502	0
stm88	Ec6001	0
stm88	Ga5501	0
stm88	Tb5501	1
stm89	Bv5501	0
stm89	Ca5501	0
stm89	Ec5001	0
stm89	Ec5002	0
stm89	Ec5003	0
stm89	Ec5004	1
stm89	Ec5005	1
stm89	Ec5501	0
stm89	Ec5502	1
stm89	Ec6001	0
stm89	Ga5501	0
stm89	Tb5501	0
stm90	Bv5501	0
stm90	Ca5501	0
stm90	Ec5001	1
stm90	Ec5002	0
stm90	Ec5003	0
stm90	Ec5004	0
stm90	Ec5005	0
stm90	Ec5501	0
stm90	Ec5502	0
stm90	Ec6001	0
stm90	Ga5501	1
stm90	Tb5501	1
stm91	Bv5501	0
stm91	Ca5501	0
stm91	Ec5001	0
stm91	Ec5002	1
stm91	Ec5003	0
stm91	Ec5004	0
stm91	Ec5005	0
stm91	Ec5501	0
stm91	Ec5502	1
stm91	Ec6001	1
stm91	Ga5501	0
stm91	Tb5501	0
stm92	Bv5501	0
stm92	Ca5501	1
stm92	Ec5001	0
stm92	Ec5002	0
stm92	Ec5003	0
stm92	Ec5004	0
stm92	Ec5005	0
stm92	Ec5501	0
stm92	Ec5502	0
stm92	Ec6001	0
stm92	Ga5501	1
stm92	Tb5501	1
stm93	Bv5501	0
stm93	Ca5501	0
stm93	Ec5001	0
stm93	Ec5002	0
stm93	Ec5003	0
stm93	Ec5004	0
stm93	Ec5005	1
stm93	Ec5501	1
stm93	Ec5502	0
stm93	Ec6001	1
stm93	Ga5501	0
stm93	Tb5501	0
stm94	Bv5501	0
stm94	Ca5501	1
stm94	Ec5001	0
stm94	Ec5002	0
stm94	Ec5003	1
stm94	Ec5004	0
stm94	Ec5005	0
stm94	Ec5501	0
stm94	Ec5502	1
stm94	Ec6001	0
stm94	Ga5501	0
stm94	Tb5501	0
stm95	Bv5501	1
stm95	Ca5501	0
stm95	Ec5001	1
stm95	Ec5002	0
stm95	Ec5003	0
stm95	Ec5004	0
stm95	Ec5005	0
stm95	Ec5501	0
stm95	Ec5502	0
stm95	Ec6001	1
stm95	Ga5501	0
stm95	Tb5501	0
stm96	Bv5501	0
stm96	Ca5501	0
stm96	Ec5001	0
stm96	Ec5002	1
stm96	Ec5003	1
stm96	Ec5004	0
stm96	Ec5005	1
stm96	Ec5501	0
stm96	Ec5502	0
stm96	Ec6001	0
stm96	Ga5501	0
stm96	Tb5501	0
stm00	Bv5501	0
stm00	Ec6001	0
stm00	Ga5501	0
stm00	Ca5501	0
stm00	Ec5002	0
stm00	Ec5501	0
stm00	Ec5001	0
stm00	Ec5005	0
stm00	Tb5501	0
stm00	Ec5003	0
stm00	Ec5004	0
stm00	Ec5502	0
